UPA,USO_DE_SU,Reclass,ABANDONED,CONSERVATION,FARMING,CATTLE,FORESTRY,LODGING,AGUA,ENERGIA_EL,TELEFONO_F,INTERNET,ALCANTARIL,VIAS_DE_AC,RIEGO,RELIEVE
45,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,NO TIENE,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
45,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
46,AGRICOLA CONSERVACIONAL SIN APROVECHAMIENTO,AGRICOLA,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,NO TIENE,NO TIENE,NO TIENE,NO TIENE,SENDERO,NO TIENE,ONDULADO
46,AGRICOLA SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
47,AGRICOLA PECUARIO HABITACIONAL,AGRICOLA,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,POZO SEPTICO O CIEGO PUBLICO,LASTRADA,NO TIENE,ONDULADO
47,PECUARIO FORESTAL,PECUARIO,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
47,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,ONDULADO
47,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,NO TIENE,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,ASFALTADA,NO TIENE,PLANO
48,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,TELEFONO FIJO PUBLICO,NO TIENE,POZO SEPTICO O CIEGO PRIVADO,LASTRADA,NO TIENE,PLANO
48,AGRICOLA PECUARIO SIN APROVECHAMIENTO,AGRICOLA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
49,AGRICOLA,AGRICOLA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,LASTRADA,NO TIENE,PLANO
52,SIN APROVECHAMIENTO,SIN APROVECHAMIENTO,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,AGUA ENTUBADA PUBLICA,ENERGIA ELECTRICA PUBLICA,NO TIENE,NO TIENE,NO TIENE,DE VERANO,NO TIENE,PLANO
